BLUE PLAQUE DATABASE - NOKIA MAPS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Version #  >>,,22,   Please update the version number everytime an updated doc is sent to PaperSeven,,,,,,,,,,,,,,
Shared plaque,,,,,,,,,,,,,,,,,
Example Dataset,,,,,,,,,,,,,,,,,
Number,Plaque Subject Title,Plaque Subject Forenames,Plaque Subject Surname,Plaque Subject Birth/Death,Plaque Address Line 1,Plaque Address Line 2,Plaque GPS Reference,Plaque GPS Reference,Plaque Category 1,Plaque Category 2,Plaque Information 1,Plaque information 2,Plaque Info,Plaque More Info,,,
20,Sir,Edward C.,Burne-Jones,1833-1898,41 Kensington Square,South Kensington,[LEAVE BLANK],[LEAVE BLANK],Borad Category,Broad Category,Information ,Information,Sir Edward Burne-Jones 1833-1898 artist lived here 1865-1867,http://en.wikipedia.org/wiki/Edward_Burne-Jones,,,
This is ref only - not visible to user,Leave blank if nothing specific,Include middle names where relevant,,No need to include brackets,,No postcode needed,PaperSeven to source,PaperSeven to source,To be defined by Build ,Only use if subject sits in more than 1 category,Only use if subject sits in more than 1 category,,,Website URL e.g. Wikipedia link,,,
,,,,,,,,,,,,,,,,,
Number,Plaque Subject Title,Plaque Subject Forenames,Plaque Subject Surname,Plaque Subject Birth/Death,Plaque Address Line 1,Plaque Address Line 2,Latitude,Longitude,Plaque Category 1,Plaque Category 2,Plaque Category 3,,Plaque Info,Plaque More Info,Plaque More Info,,
1,Dame,Millicent Garrett,Fawcett,1847-1929,2 Gower Street,Bloomsbury,51.5198,-0.129756,Politics,,Pioneer,Women's Suffrage,Dame Millicent Garrett Fawcett (1847-1929) Pioneer of women's suffrage lived and died here,http://en.wikipedia.org/wiki/Millicent_Fawcett,"Dame Millicent Garrett Fawcett (1847-1929) was an English suffragist and pioneer for women's rights. Born in Adleburgh, Suffolk to wealthy parents, Fawcett, through her marriage to an MP, became involved in women's political campaigns. She was elected president of the National Union of Women's Suffrage Societies (NUWSS) in 1890, a position she held until 1919. The NUWSS took a more moderate stance to their contemporaries the suffragettes, but nevertheless campaigned tirelessly for the vote for women, which was achieved for women over 30 in 1918. Fawcett is considered to be instrumental to this change. ",,
2,Sir,Edward C.,Burne-Jones,1833-1898,41 Kensington Square,South Kensington,51.5008,-0.1904,Arts,,Artist,Painter,Sir Edward Burne-Jones 1833-1898 artist lived here 1865-1867,http://en.wikipedia.org/wiki/Edward_Burne-Jones,"Sir Edward Burne-Jones (1833-1898) was a British artist and designer closely associated with the later phase of the Pre-Raphaelite movement. Burne-Jones also created a number of famed stained glass works, as well as paintings. Working with his contemporaries Dante Gabriel Rossetti and William Morris, with whom he founded Morris, Marshall, Faulkner, and Company, Burne-Jones is considered one of the most influential artists of the 19th century. An abiding interest in the decorative arts, he also designed ceramic tiles, jewellery, tapestries, mosaics and book illustrations. Burne-Jones lived in Kensington Square for two years: his daughter was born there.  ",,
3,,Walter,Sickert,1860-1942,6 Mornington Crescent,Camden Town,51.5326,-0.139909,Arts,,Painter,Etcher,Walter Sickert 1860-1942 Painter and etcher lived and worked here,http://en.wikipedia.org/wiki/Walter_Sickert,"Walter Richard Sickert (1860-1942) was a painter who had an important influence on distinctively British styles of avant-garde art in the 20th century. Sickert was a cosmopolitan and eccentric artist who often favoured ordinary people and urban scenes as his subjects. His oeuvre also included well-known personalities and images derived from press photographs. Sickert took a keen interest in the crimes of Jack the Ripper, believing he had lodged in a room used by the serial killer. Several historians now claim that Sickert was in fact Jack the Ripper, or his accomplice. ",,
4,,Ivor,Novello,1893-1951,11 Aldwych,Covent Garden,51.5123,-0.118904,Arts,,Composer,Actor Manager,"Ivor Novello (1893-1951) Composer and Actor Manager lived and died in a flat on the top floor of this building
",http://en.wikipedia.org/wiki/Ivor_Novello,"Ivor Novello (1893-1951) was a composer, actor, theatre manager and singer who became one the most influential British entertainers of the first half of the 20th century. Born into a musical family, his first successes were as a songwriter. His first big hit was ""Keep the Home Fires Burning"", which was enormously popular during the First World War. After the war, Novello contributed numbers to several successful musical comedies, wrote complete scores for shows and then turned to acting in the twenties. Four years after his death the Ivor Novello Awards for song writing were established in his memory. ",,
5,,Bertrand,Russell,1872-1970,"34 Russell Chambers, Bury Place",Bloomsbury,51.5185,-0.12394,Science & Engineering,Politics,Philosopher,Campaigner for peace,Bertrand Russell (1872-1970) Philosopher and Campaigner for Peace lived here in flat No.34 1911-1916,http://en.wikipedia.org/wiki/Bertrand_Russell,"Bertrand Russell (1872-1970) was a British philosopher, logician, social critic and campaigner for peace. Born in Monmouthshire and educated at Trinity College, Cambridge Russell made several key contributions to twentieth century mathematics and philosophy, and is considered by many to have led the British ""revolt against idealism"". Russell lived in this house during the First World War during which time he was prominent in the anti-war movement. Russell established the Russell Tribunal during the Vietnam War, it is now known as the International War Crimes Tribunal. ",,
6,,Joseph,Grimaldi,1778-1837,56 Exmouth Market,Clerkenwell,51.526,-0.109,Arts,,Clown,Entertainer,Joseph Grimaldi (1778-1837) Clown lived here. *Best known for his invention of the modern day whiteface clown,http://en.wikipedia.org/wiki/Joseph_Grimaldi,"Joseph Grimaldi (1778-1837) was an English actor and comedian who is perhaps best known for his invention of the modern day whiteface clown. He was born into a family  of performers, and made his stage debut aged three. As a pantomime clown Grimaldi was considered unsurpassable, his greatest success occurring in ""Harlequin and Mother Goose; or the Golden Egg"" at Theatre Royal, Covent Garden. He was an innovator, his performance as Joey introduced the modern clown to the world and to this day clowns gather once a year at Holy Trinity Church in Dalston, London in full attire to celebrate his life. ",,
