BLUE PLAQUE DATABASE - NOKIA MAPS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Version #  >>,,39,   Please update the version number everytime an updated doc is sent to PaperSeven,,,,,,,,,,,,
Shared plaque,,,,,,,,,,,,,,,
Example Dataset,,,,,,,,,,,,,,,
Number,Plaque Subject Title,Plaque Subject Forenames,Plaque Subject Surname,Plaque Subject Birth/Death,Plaque Address Line 1,Plaque Address Line 2,Plaque GPS Reference,Plaque GPS Reference,Plaque Category 1,Plaque Category 2,Plaque Information 1,Plaque information 2,Plaque Info,Plaque More Info,
20,Sir,Edward C.,Burne-Jones,1833-1898,41 Kensington Square,South Kensington,[LEAVE BLANK],[LEAVE BLANK],Broad Category,Broad Category,Information ,Information,Sir Edward Burne-Jones 1833-1898 artist lived here 1865-1867,http://en.wikipedia.org/wiki/Edward_Burne-Jones,
This is ref only - not visible to user,Leave blank if nothing specific,Include middle names where relevant,,No need to include brackets,,No postcode needed,PaperSeven to source,PaperSeven to source,To be defined by Build ,Only use if subject sits in more than 1 category,Only use if subject sits in more than 1 category,,,Website URL e.g. Wikipedia link,
,,,,,,,,,,,,,,,
Number,Plaque Subject Title,Plaque Subject Forenames,Plaque Subject Surname,Plaque Subject Birth/Death,Plaque Address Line 1,Plaque Address Line 2,Latitude,Longitude,Plaque Category 1,Plaque Category 2,Plaque Category 3,,Plaque Info,Plaque More Info,Plaque More Info
1,,Emmeline,Pankhurst,1858-1928,50 Clarendon Road,Notting Hill,51.510205,-0.20925,Politics,,Campaigner,Women's Suffrage,Emmeline Pankhurst (1858-1928) Dame Christabel Pankhurst (1880-1958) Campaigners for Women's Suffrage lived here,http://en.wikipedia.org/wiki/Emmeline_Pankhurst,"Emmeline Pankhurst was a British political activist and leader of the British suffragette movement. Born in Manchester to politically active parents, she was introduced to the women's suffrage movement at the age of 8. After her husband's death in 1898, Pankhurst founded the Women's Social and Political Union (WSPU), an organisation dedicated to 'deeds, not words'. The all-women group placed itself separately from, and often in opposition to, political parties. The WSPU became infamous when its members smashed windows and assaulted police officers as part of their campaigning. Pankhurst was widely criticised for her militant tactics, but her work is recognised as crucial in achieving women's right to vote in Britain. ",
2,Sir,Edward ,Burne-Jones,1833-1898,41 Kensington Square,South Kensington,51.5008,-0.1904,Arts,,Artist,Painter,Sir Edward Burne-Jones (1833-1898) artist lived here 1865-1867,http://en.wikipedia.org/wiki/Edward_Burne-Jones,"Sir Edward Burne-Jones was a British artist and designer closely associated with the later phase of the Pre-Raphaelite movement. He created a number of famed paintings, as well as stained glass works for several churches. He co-founded Morris, Marshall, Faulkner & Co. with William Morris and other artists associated with the Pre-Raphaelite movement. He also produced many engravings for Morris' Kelmscott Press. With an abiding interest in the decorative arts, Burne-Jones also designed ceramic tiles, jewellery, tapestries, mosaics and book illustrations; he is considered one of the most influential artists of the 19th century. He lived in Kensington Square for two years, where his daughter Margaret was born.",
3,,Walter,Sickert,1860-1942,6 Mornington Crescent,Camden Town,51.5326,-0.139909,Arts,,Painter,Etcher,Walter Sickert (1860-1942) Painter and etcher lived and worked here,http://en.wikipedia.org/wiki/Walter_Sickert,"Walter Richard Sickert was a painter who had an important influence on distinctively British styles of avant-garde art in the 20th century. Sickert was a cosmopolitan and eccentric artist who often favoured ordinary people and urban scenes as his subjects. He often included well-known personalities and images derived from press photographs. Sickert took a keen interest in the crimes of Jack the Ripper, believing he had lodged in a room used by the serial killer- some historians have since claimed that Sickert was the notorious murderer, but this claim has been dismissed by just as many.",
4,,Ivor,Novello,1893-1951,11 Aldwych,Covent Garden,51.512408,-0.119014,Arts,,Composer,Actor Manager,"Ivor Novello (1893-1951) Composer and Actor Manager lived and died in a flat on the top floor of this building,
",http://en.wikipedia.org/wiki/Ivor_Novello,"Ivor Novello was a composer, actor, theatre manager and singer who became one the most influential British entertainers of the first half of the 20th century. Born into a musical family, his first successes were as a songwriter. His first big hit was 'Keep The Home Fires Burning', which was enormously popular during WW1. After the war, Novello contributed songs to several successful musical comedies, and wrote complete scores for shows, before turning to acting in the 1920's. Four years after his death the Ivor Novello Awards for song writing were established in his memory. ",
5,,Bertrand,Russell,1872-1970,"34 Russell Chambers, Bury Place",Bloomsbury,51.51831,-0.12432,Science & Engineering,Politics,Philosopher,Campaigner for peace,Bertrand Russell (1872-1970) Philosopher and Campaigner for Peace lived here in flat No.34 1911-1916,http://en.wikipedia.org/wiki/Bertrand_Russell,"Bertrand Russell was a British philosopher, logician, social critic and campaigner for peace. He was born in Monmouthshire and educated at Trinity College, Cambridge; he made several key contributions to twentieth century mathematics and philosophy, and is considered by many to have led the British 'revolt against idealism'. Russell lived in this house during the First World War, during which time he was prominent in the anti-war movement. Russell established the Russell Tribunal during the Vietnam War, which is now known as the International War Crimes Tribunal. ",
6,,Joseph,Grimaldi,1778-1837,56 Exmouth Market,Clerkenwell,51.52611,-0.10854,Arts,,Clown,Entertainer,Joseph Grimaldi (1778-1837) Clown lived here. ,http://en.wikipedia.org/wiki/Joseph_Grimaldi,"Joseph Grimaldi was an English actor and comedian who is best known for his invention of the modern day whiteface clown. He was born into a family of performers, and made his stage debut aged three. As a pantomime clown Grimaldi was considered unsurpassable, his greatest success occurring in 'Harlequin and Mother Goose; or the Golden Egg' at Theatre Royal, Covent Garden. He was an innovator, and his performance as Joey introduced the modern clown to the world. To this day clowns gather annually in full attire at Holy Trinity Church in Dalston, London to celebrate his life. ",
7,,John Logie,Baird,1888-1946,22 Frith Street,Soho,51.51325,-0.1319,Science & Engineering,,Pioneer,Inventor,In 1926 in this house John Logie Baird (1888-1946) first demonstrated television.,http://en.wikipedia.org/wiki/John_Logie_Baird,"John Logie Baird was a Scottish engineer who is most famous for inventing television. Baird showed ingenuity from an early age, rigging a telephone exchange from his bedroom to communicate with friends from across the street. In the early 1920s Baird made his major breakthrough with transmitting moving images, initially just  silhouettes, but he soon managed grey, tonal images. In 1926, on the top floor of this house in Frith Street, he first demonstrated this type of transmission to members of the Royal Institution and a reporter from the Times newspaper. Baird went on to make major contributions to the development of colour television and broadcasting. ",
8,,Anna,Freud,1895-1982,20 Maresfield Gardens,Hampstead,51.5483,-0.177694,Science & Engineering,,Pioneer,Psychoanalyst,Anna Freud (1895-1982) Pioneer of Child Psychoanalysis lived here 1938-1982,http://en.wikipedia.org/wiki/Anna_Freud,"Anna Freud was the sixth and last child of Sigmund and Martha Freud. Born in Vienna, she followed the path of her father and contributed much to the fledgling field of psychoanalysis. Alongside Melanie Klein, she may be considered the founder of psychoanalytic child psychology. Anna moved to Hampstead in 1938 after fleeing Austria, and the harassment of Jews by the Nazis. Much of her important work with children occurred during and immediately after the Second World War, when she observed the effects of stress and lack of parental care on children. ",
9,,Richard,Burton,1925-1984,6 Lyndhurst Road,Hampstead,51.552439,-0.173083,Arts,,Actor,,Richard Burton (1925-1984) Actor lived here 1949-1956,http://en.wikipedia.org/wiki/Richard_Burton,"Richard Burton was a Welsh actor who appeared in over seventy films, and was nominated for seven Academy Awards. Born into a working class mining family, he began smoking and drinking at a very young age, both of which he was notorious for throughout his life. He was a gifted soprano singer and actor and mentored by his schoolmaster, was encouraged to pursue acting as a career. Burton lived in this house while appearing in several British films and stage productions. In 1952 Burton successfully made the transition to Hollywood, becoming for a time its most highly paid actor. In 1963 he appeared in Cleopatra with Elizabeth Taylor, to whom he was famously twice married. ",
10,,John,Lennon,1940-1980,34 Montagu Square,Marylebone,51.5187,-0.159858,Arts,,Musician,Songwriter,John Lennon (1940-1980) Musician and Songwriter lived here in 1968,http://en.wikipedia.org/wiki/John_lennon,"John Lennon was an English musician and songwriter, who rose to worldwide fame in the 1960s as a member of the Beatles, and then as a solo artist in the 1970s.  He is considered to be one of the greatest songwriters of all time, penning some of the most successful pop songs with fellow Beatle Paul McCartney. As well as enjoying immense success as a musician, Lennon also made a significant impact on the anti-war campaign during the Vietnam War. Lennon lived in his house on Montagu Square in 1968, the same year that the Beatles recorded The White Album, following a highly influential visit to Maharishi Mahesh Yogi in India. He was killed by a fan outside his New York apartment in 1980.",
